CustomerID,Gender,Age,AnnualIncome,SpendingScore,TimeSpentInMall,VisitsPerMonth,DistanceFromHome,HasCreditCard,Churn
1.0,Male,,,90.0,17.0,12.0,22.52,No,Yes
2.0,Female,19.0,69522.0,98.0,214.0,,21.17,Yes,Yes
3.0,Male,23.0,119161.0,30.0,206.0,22.0,,Yes,Yes
4.0,Male,45.0,24886.0,,207.0,25.0,18.68,No,No
5.0,,46.0,131249.0,60.0,,,5.5,Yes,Yes
6.0,Female,43.0,27485.0,81.0,29.0,17.0,12.65,Yes,Yes
7.0,Male,42.0,51455.0,97.0,57.0,17.0,13.67,No,Yes
8.0,,29.0,131984.0,74.0,139.0,10.0,36.06,No,No
9.0,Male,22.0,,,141.0,7.0,2.52,Yes,
10.0,Female,51.0,,42.0,63.0,29.0,32.59,,Yes
11.0,Male,65.0,48453.0,51.0,290.0,16.0,11.15,No,No
,Male,54.0,96280.0,64.0,274.0,29.0,4.18,No,
13.0,Male,32.0,,76.0,224.0,13.0,15.11,No,No
,,61.0,73442.0,56.0,299.0,3.0,11.3,Yes,Yes
15.0,Female,53.0,71877.0,,52.0,2.0,,Yes,Yes
16.0,Male,32.0,32226.0,41.0,83.0,16.0,,No,No
17.0,Female,60.0,,32.0,287.0,6.0,48.3,Yes,Yes
18.0,Female,65.0,42588.0,15.0,251.0,6.0,48.18,No,
19.0,Female,40.0,98976.0,62.0,,13.0,22.24,Yes,No
20.0,Male,23.0,51709.0,27.0,203.0,7.0,39.77,Yes,No
21.0,Female,63.0,67788.0,28.0,41.0,5.0,0.76,No,No
22.0,Male,67.0,108031.0,81.0,115.0,24.0,27.44,No,No
23.0,Female,61.0,57019.0,64.0,213.0,7.0,,Yes,
24.0,,60.0,64948.0,59.0,10.0,2.0,10.93,Yes,Yes
25.0,Female,62.0,85133.0,58.0,254.0,17.0,3.15,Yes,Yes
26.0,Female,38.0,134444.0,,81.0,13.0,7.88,No,Yes
27.0,Female,40.0,86458.0,36.0,24.0,,22.15,Yes,No
,Female,60.0,137603.0,71.0,62.0,21.0,25.37,No,Yes
29.0,Female,33.0,47526.0,13.0,17.0,28.0,19.11,No,No
30.0,Female,64.0,93493.0,15.0,55.0,27.0,22.05,No,No
31.0,Male,,148585.0,89.0,123.0,21.0,23.56,Yes,Yes
32.0,Male,42.0,72198.0,87.0,156.0,28.0,38.49,No,Yes
33.0,Female,53.0,134100.0,60.0,175.0,,5.35,Yes,No
34.0,Female,28.0,143854.0,22.0,148.0,26.0,38.47,No,Yes
35.0,Female,68.0,119534.0,63.0,,20.0,34.46,,
36.0,Male,32.0,,,285.0,2.0,37.11,Yes,Yes
37.0,Female,21.0,44031.0,97.0,286.0,5.0,36.75,No,Yes
38.0,Male,38.0,95542.0,,187.0,18.0,23.58,No,No
39.0,,30.0,145814.0,,,28.0,10.65,Yes,No
40.0,Male,39.0,57701.0,25.0,210.0,,26.88,,Yes
41.0,Male,,,48.0,124.0,11.0,47.9,,No
42.0,Male,51.0,45939.0,,168.0,25.0,29.47,No,No
43.0,Female,31.0,69145.0,38.0,51.0,25.0,0.65,Yes,Yes
44.0,,21.0,40324.0,41.0,256.0,11.0,3.08,Yes,
45.0,Female,,42867.0,,77.0,22.0,49.64,No,No
46.0,Female,69.0,20203.0,88.0,205.0,,3.69,Yes,
,Female,63.0,36544.0,40.0,99.0,16.0,2.4,No,
,,44.0,35899.0,97.0,,13.0,17.72,No,Yes
49.0,Female,46.0,49063.0,17.0,154.0,,,No,No
50.0,,64.0,110880.0,,284.0,5.0,16.0,No,No
51.0,Male,45.0,,57.0,188.0,20.0,20.55,,Yes
52.0,Female,52.0,125022.0,2.0,250.0,16.0,31.74,No,No
53.0,Male,25.0,137269.0,96.0,162.0,28.0,1.3,,Yes
54.0,Female,33.0,86629.0,62.0,113.0,22.0,,Yes,Yes
55.0,Male,59.0,100764.0,88.0,84.0,22.0,26.02,Yes,
56.0,Female,53.0,40884.0,9.0,137.0,16.0,23.39,,Yes
57.0,,47.0,45183.0,68.0,208.0,16.0,43.05,,
58.0,Male,,101570.0,81.0,163.0,14.0,47.66,No,No
59.0,Male,19.0,91246.0,17.0,,6.0,21.23,No,Yes
60.0,Male,,128036.0,,287.0,2.0,,No,No
61.0,Male,30.0,39259.0,,28.0,14.0,,No,Yes
,,21.0,55959.0,40.0,168.0,16.0,20.22,Yes,Yes
63.0,Male,43.0,136525.0,,35.0,23.0,46.78,Yes,No
,Male,42.0,53457.0,75.0,178.0,20.0,47.5,No,No
,Male,47.0,105679.0,85.0,32.0,13.0,5.83,Yes,
66.0,Female,28.0,145829.0,21.0,56.0,15.0,47.83,Yes,Yes
67.0,Female,24.0,,18.0,22.0,12.0,,No,No
68.0,Male,,22103.0,55.0,226.0,9.0,,Yes,Yes
,Female,61.0,,29.0,203.0,26.0,1.83,Yes,No
70.0,,27.0,132314.0,24.0,153.0,18.0,44.46,No,Yes
71.0,Female,,,,82.0,21.0,32.12,No,No
72.0,,30.0,,17.0,165.0,14.0,32.21,No,Yes
73.0,Male,48.0,118046.0,18.0,86.0,20.0,,Yes,No
74.0,Female,24.0,110012.0,42.0,178.0,25.0,25.47,No,Yes
75.0,Male,66.0,98278.0,84.0,296.0,4.0,20.58,Yes,Yes
76.0,Female,59.0,32391.0,45.0,94.0,,43.32,No,Yes
77.0,Female,59.0,122476.0,82.0,191.0,8.0,37.15,No,Yes
78.0,,,48901.0,17.0,121.0,22.0,47.45,No,No
79.0,Male,37.0,140721.0,73.0,239.0,22.0,47.01,No,Yes
80.0,Female,21.0,117537.0,14.0,105.0,16.0,19.18,Yes,
81.0,Male,24.0,101159.0,49.0,177.0,27.0,22.4,Yes,Yes
,Female,18.0,87914.0,29.0,165.0,24.0,12.87,No,No
83.0,Male,61.0,70357.0,95.0,114.0,28.0,33.07,Yes,Yes
84.0,,62.0,,4.0,202.0,29.0,18.29,No,Yes
85.0,Male,59.0,130335.0,82.0,141.0,28.0,39.33,No,
86.0,,64.0,58437.0,20.0,147.0,10.0,6.17,Yes,No
87.0,Female,30.0,55503.0,47.0,279.0,,5.91,Yes,Yes
88.0,Male,39.0,116282.0,9.0,47.0,21.0,10.3,,No
89.0,Female,38.0,113459.0,77.0,54.0,,,,No
90.0,Female,39.0,95403.0,79.0,172.0,17.0,31.04,No,No
91.0,Female,45.0,61258.0,27.0,262.0,,7.45,Yes,Yes
92.0,Female,26.0,53724.0,,178.0,18.0,8.08,No,No
93.0,Female,43.0,84286.0,92.0,294.0,10.0,0.81,No,Yes
94.0,Female,26.0,94842.0,19.0,283.0,26.0,39.13,No,No
95.0,Female,,124927.0,90.0,,21.0,40.63,No,No
96.0,Female,27.0,34908.0,52.0,248.0,4.0,8.18,No,Yes
97.0,Female,41.0,,,279.0,1.0,37.0,No,No
98.0,Female,59.0,70626.0,89.0,40.0,4.0,21.73,Yes,
99.0,Female,25.0,57228.0,26.0,113.0,4.0,12.06,No,
,Male,41.0,43386.0,,179.0,26.0,31.11,No,No
101.0,Male,33.0,66754.0,46.0,195.0,,9.01,Yes,No
,Female,66.0,130942.0,,137.0,17.0,37.87,,No
103.0,Female,43.0,48302.0,49.0,219.0,9.0,2.48,No,No
104.0,,44.0,,82.0,290.0,19.0,47.96,,
105.0,Female,54.0,141084.0,96.0,262.0,13.0,3.69,No,Yes
106.0,Female,21.0,104748.0,53.0,28.0,4.0,29.01,Yes,Yes
107.0,Female,67.0,83344.0,3.0,209.0,5.0,45.12,Yes,Yes
,Female,41.0,,66.0,229.0,29.0,0.69,No,Yes
109.0,Female,36.0,,97.0,145.0,13.0,24.98,,No
110.0,Male,53.0,96234.0,42.0,232.0,23.0,17.57,No,Yes
111.0,Female,56.0,81114.0,19.0,12.0,16.0,29.06,,Yes
112.0,Male,,137652.0,17.0,,22.0,11.35,,No
113.0,Female,42.0,90130.0,,237.0,5.0,3.34,Yes,Yes
,Female,35.0,45525.0,76.0,,8.0,,No,No
115.0,Male,36.0,99818.0,49.0,18.0,16.0,20.9,No,No
116.0,Female,53.0,134589.0,56.0,,1.0,31.16,No,Yes
